Wavelength (nm)	Transmission (dBm)	Linear Transmission
1577.000000	-82.019997	0.000000
1577.010010	-81.290001	0.000000
1577.020020	-210.000000	0.000000
1577.030029	-82.019997	0.000000
1577.040039	-210.000000	0.000000
1577.050049	-80.120003	0.000000
1577.060059	-210.000000	0.000000
1577.069946	-83.680000	0.000000
1577.079956	-88.449997	0.000000
1577.089966	-76.930000	0.000000
1577.099976	-90.669998	0.000000
1577.109985	-80.000000	0.000000
1577.119995	-85.029999	0.000000
1577.130005	-84.650002	0.000000
1577.140015	-85.029999	0.000000
1577.150024	-80.529999	0.000000
1577.160034	-85.440002	0.000000
1577.170044	-82.220001	0.000000
1577.180054	-81.459999	0.000000
1577.189941	-210.000000	0.000000
1577.199951	-80.250000	0.000000
1577.209961	-81.459999	0.000000
1577.219971	-80.669998	0.000000
1577.229980	-80.250000	0.000000
1577.239990	-210.000000	0.000000
1577.250000	-80.529999	0.000000
1577.260010	-83.980003	0.000000
1577.270020	-89.419998	0.000000
1577.280029	-79.099998	0.000000
1577.290039	-82.430000	0.000000
1577.300049	-79.419998	0.000000
1577.310059	-210.000000	0.000000
1577.319946	-82.430000	0.000000
1577.329956	-79.000000	0.000000
1577.339966	-77.050003	0.000000
1577.349976	-78.809998	0.000000
1577.359985	-92.430000	0.000000
1577.369995	-78.910004	0.000000
1577.380005	-210.000000	0.000000
1577.390015	-79.209999	0.000000
1577.400024	-81.290001	0.000000
1577.410034	-83.400002	0.000000
1577.420044	-81.639999	0.000000
1577.430054	-79.879997	0.000000
1577.439941	-80.250000	0.000000
1577.449951	-78.809998	0.000000
1577.459961	-77.959999	0.000000
1577.469971	-78.120003	0.000000
1577.479980	-89.419998	0.000000
1577.489990	-78.629997	0.000000
1577.500000	-78.279999	0.000000
1577.510010	-78.279999	0.000000
1577.520020	-78.449997	0.000000
1577.530029	-82.430000	0.000000
1577.540039	-77.730003	0.000000
1577.550049	-83.980003	0.000000
1577.560059	-88.449997	0.000000
1577.569946	-80.250000	0.000000
1577.579956	-78.199997	0.000000
1577.589966	-76.570000	0.000000
1577.599976	-78.809998	0.000000
1577.609985	-78.540001	0.000000
1577.619995	-78.040001	0.000000
1577.630005	-76.199997	0.000000
1577.640015	-77.449997	0.000000
1577.650024	-79.099998	0.000000
1577.660034	-76.250000	0.000000
1577.670044	-75.989998	0.000000
1577.680054	-75.070000	0.000000
1577.689941	-76.870003	0.000000
1577.699951	-76.349998	0.000000
1577.709961	-75.620003	0.000000
1577.719971	-75.400002	0.000000
1577.729980	-78.120003	0.000000
1577.739990	-75.230003	0.000000
1577.750000	-75.660004	0.000000
