Wavelength (nm)	Transmission (dBm)	Linear Transmission
1577.000000	-83.400002	0.000000
1577.010010	-210.000000	0.000000
1577.020020	-210.000000	0.000000
1577.030029	-210.000000	0.000000
1577.040039	-90.669998	0.000000
1577.050049	-83.980003	0.000000
1577.060059	-210.000000	0.000000
1577.069946	-81.639999	0.000000
1577.079956	-79.760002	0.000000
1577.089966	-210.000000	0.000000
1577.099976	-210.000000	0.000000
1577.109985	-210.000000	0.000000
1577.119995	-85.029999	0.000000
1577.130005	-87.660004	0.000000
1577.140015	-210.000000	0.000000
1577.150024	-81.290001	0.000000
1577.160034	-210.000000	0.000000
1577.170044	-79.209999	0.000000
1577.180054	-95.440002	0.000000
1577.189941	-210.000000	0.000000
1577.199951	-85.900002	0.000000
1577.209961	-80.250000	0.000000
1577.219971	-210.000000	0.000000
1577.229980	-77.180000	0.000000
1577.239990	-81.639999	0.000000
1577.250000	-210.000000	0.000000
1577.260010	-85.029999	0.000000
1577.270020	-210.000000	0.000000
1577.280029	-210.000000	0.000000
1577.290039	-210.000000	0.000000
1577.300049	-81.459999	0.000000
1577.310059	-210.000000	0.000000
1577.319946	-210.000000	0.000000
1577.329956	-210.000000	0.000000
1577.339966	-80.669998	0.000000
1577.349976	-90.669998	0.000000
1577.359985	-210.000000	0.000000
1577.369995	-210.000000	0.000000
1577.380005	-84.650002	0.000000
1577.390015	-210.000000	0.000000
1577.400024	-84.650002	0.000000
1577.410034	-81.820000	0.000000
1577.420044	-80.250000	0.000000
1577.430054	-210.000000	0.000000
1577.439941	-210.000000	0.000000
1577.449951	-92.430000	0.000000
1577.459961	-210.000000	0.000000
1577.469971	-90.669998	0.000000
1577.479980	-87.660004	0.000000
1577.489990	-83.680000	0.000000
1577.500000	-83.680000	0.000000
1577.510010	-210.000000	0.000000
1577.520020	-210.000000	0.000000
1577.530029	-210.000000	0.000000
1577.540039	-89.419998	0.000000
1577.550049	-210.000000	0.000000
1577.560059	-83.980003	0.000000
1577.569946	-83.980003	0.000000
1577.579956	-210.000000	0.000000
1577.589966	-210.000000	0.000000
1577.599976	-82.019997	0.000000
1577.609985	-79.879997	0.000000
1577.619995	-210.000000	0.000000
1577.630005	-80.250000	0.000000
1577.640015	-82.019997	0.000000
1577.650024	-210.000000	0.000000
1577.660034	-210.000000	0.000000
1577.670044	-210.000000	0.000000
1577.680054	-78.540001	0.000000
1577.689941	-89.419998	0.000000
1577.699951	-82.650002	0.000000
1577.709961	-210.000000	0.000000
1577.719971	-82.220001	0.000000
1577.729980	-86.989998	0.000000
1577.739990	-80.669998	0.000000
1577.750000	-210.000000	0.000000
1577.760010	-210.000000	0.000000
1577.770020	-83.680000	0.000000
1577.780029	-210.000000	0.000000
1577.790039	-82.220001	0.000000
1577.800049	-80.250000	0.000000
1577.810059	-84.300003	0.000000
1577.819946	-82.019997	0.000000
1577.829956	-210.000000	0.000000
1577.839966	-82.019997	0.000000
1577.849976	-210.000000	0.000000
1577.859985	-81.639999	0.000000
1577.869995	-210.000000	0.000000
1577.880005	-210.000000	0.000000
1577.890015	-84.300003	0.000000
1577.900024	-210.000000	0.000000
1577.910034	-85.900002	0.000000
1577.920044	-78.040001	0.000000
1577.930054	-210.000000	0.000000
1577.939941	-84.650002	0.000000
1577.949951	-210.000000	0.000000
1577.959961	-210.000000	0.000000
1577.969971	-210.000000	0.000000
1577.979980	-210.000000	0.000000
1577.989990	-85.900002	0.000000
1578.000000	-210.000000	0.000000
1578.010010	-82.230003	0.000000
1578.020020	-80.980003	0.000000
1578.030029	-210.000000	0.000000
1578.040039	-210.000000	0.000000
1578.050049	-89.430000	0.000000
1578.060059	-210.000000	0.000000
1578.069946	-210.000000	0.000000
1578.079956	-82.660004	0.000000
1578.089966	-210.000000	0.000000
1578.099976	-210.000000	0.000000
1578.109985	-90.680000	0.000000
1578.119995	-88.459999	0.000000
1578.130005	-87.000000	0.000000
1578.140015	-210.000000	0.000000
1578.150024	-210.000000	0.000000
1578.160034	-89.430000	0.000000
1578.170044	-210.000000	0.000000
1578.180054	-210.000000	0.000000
1578.189941	-210.000000	0.000000
1578.199951	-90.680000	0.000000
1578.209961	-210.000000	0.000000
1578.219971	-87.000000	0.000000
1578.229980	-86.419998	0.000000
1578.239990	-87.669998	0.000000
1578.250000	-210.000000	0.000000
1578.260010	-79.540001	0.000000
1578.270020	-80.129997	0.000000
1578.280029	-210.000000	0.000000
1578.290039	-210.000000	0.000000
1578.300049	-210.000000	0.000000
1578.310059	-83.989998	0.000000
1578.319946	-210.000000	0.000000
1578.329956	-95.449997	0.000000
1578.339966	-84.660004	0.000000
1578.349976	-210.000000	0.000000
1578.359985	-88.459999	0.000000
1578.369995	-210.000000	0.000000
1578.380005	-210.000000	0.000000
1578.390015	-85.910004	0.000000
1578.400024	-82.660004	0.000000
1578.410034	-210.000000	0.000000
1578.420044	-85.040001	0.000000
1578.430054	-210.000000	0.000000
1578.439941	-82.900002	0.000000
1578.449951	-80.540001	0.000000
1578.459961	-85.040001	0.000000
1578.469971	-210.000000	0.000000
1578.479980	-82.440002	0.000000
1578.489990	-210.000000	0.000000
1578.500000	-210.000000	0.000000
1578.510010	-77.820000	0.000000
1578.520020	-210.000000	0.000000
1578.530029	-210.000000	0.000000
1578.540039	-83.139999	0.000000
1578.550049	-92.440002	0.000000
1578.560059	-210.000000	0.000000
1578.569946	-81.830002	0.000000
1578.579956	-210.000000	0.000000
1578.589966	-210.000000	0.000000
1578.599976	-85.449997	0.000000
1578.609985	-210.000000	0.000000
1578.619995	-81.300003	0.000000
1578.630005	-78.919998	0.000000
1578.640015	-210.000000	0.000000
1578.650024	-210.000000	0.000000
1578.660034	-81.650002	0.000000
1578.670044	-82.440002	0.000000
1578.680054	-86.419998	0.000000
1578.689941	-210.000000	0.000000
1578.699951	-81.470001	0.000000
1578.709961	-210.000000	0.000000
1578.719971	-210.000000	0.000000
1578.729980	-87.000000	0.000000
1578.739990	-79.889999	0.000000
1578.750000	-210.000000	0.000000
1578.760010	-210.000000	0.000000
1578.770020	-210.000000	0.000000
1578.780029	-210.000000	0.000000
1578.790039	-210.000000	0.000000
1578.800049	-95.449997	0.000000
1578.810059	-210.000000	0.000000
1578.819946	-84.309998	0.000000
1578.829956	-210.000000	0.000000
1578.839966	-210.000000	0.000000
1578.849976	-82.230003	0.000000
1578.859985	-84.309998	0.000000
1578.869995	-80.400002	0.000000
1578.880005	-82.029999	0.000000
1578.890015	-210.000000	0.000000
1578.900024	-82.900002	0.000000
1578.910034	-210.000000	0.000000
1578.920044	-210.000000	0.000000
1578.930054	-210.000000	0.000000
1578.939941	-84.660004	0.000000
1578.949951	-210.000000	0.000000
1578.959961	-82.440002	0.000000
1578.969971	-92.440002	0.000000
1578.979980	-210.000000	0.000000
1578.989990	-210.000000	0.000000
1579.000000	-81.650002	0.000000
1579.010010	-210.000000	0.000000
1579.020020	-79.889999	0.000000
1579.030029	-210.000000	0.000000
1579.040039	-87.669998	0.000000
1579.050049	-210.000000	0.000000
1579.060059	-88.459999	0.000000
1579.069946	-210.000000	0.000000
1579.079956	-78.129997	0.000000
1579.089966	-86.419998	0.000000
1579.099976	-210.000000	0.000000
1579.109985	-86.419998	0.000000
1579.119995	-86.419998	0.000000
1579.130005	-210.000000	0.000000
1579.140015	-210.000000	0.000000
1579.150024	-81.470001	0.000000
1579.160034	-95.449997	0.000000
1579.170044	-210.000000	0.000000
1579.180054	-210.000000	0.000000
1579.189941	-210.000000	0.000000
1579.199951	-210.000000	0.000000
1579.209961	-82.029999	0.000000
1579.219971	-83.989998	0.000000
1579.229980	-81.650002	0.000000
1579.239990	-210.000000	0.000000
1579.250000	-210.000000	0.000000
1579.260010	-210.000000	0.000000
1579.270020	-210.000000	0.000000
1579.280029	-210.000000	0.000000
1579.290039	-90.680000	0.000000
1579.300049	-210.000000	0.000000
1579.310059	-83.410004	0.000000
1579.319946	-83.139999	0.000000
1579.329956	-80.400002	0.000000
1579.339966	-80.129997	0.000000
1579.349976	-210.000000	0.000000
1579.359985	-210.000000	0.000000
1579.369995	-92.440002	0.000000
1579.380005	-210.000000	0.000000
1579.390015	-210.000000	0.000000
1579.400024	-210.000000	0.000000
1579.410034	-210.000000	0.000000
1579.420044	-85.449997	0.000000
1579.430054	-92.440002	0.000000
1579.439941	-95.449997	0.000000
1579.449951	-210.000000	0.000000
1579.459961	-210.000000	0.000000
1579.469971	-210.000000	0.000000
1579.479980	-83.989998	0.000000
1579.489990	-210.000000	0.000000
1579.500000	-210.000000	0.000000
1579.510010	-210.000000	0.000000
1579.520020	-90.680000	0.000000
1579.530029	-210.000000	0.000000
1579.540039	-82.440002	0.000000
1579.550049	-83.989998	0.000000
1579.560059	-210.000000	0.000000
1579.569946	-210.000000	0.000000
1579.579956	-86.419998	0.000000
1579.589966	-80.260002	0.000000
1579.599976	-210.000000	0.000000
1579.609985	-210.000000	0.000000
1579.619995	-82.440002	0.000000
1579.630005	-79.220001	0.000000
1579.640015	-80.400002	0.000000
1579.650024	-210.000000	0.000000
1579.660034	-86.419998	0.000000
1579.670044	-210.000000	0.000000
1579.680054	-90.680000	0.000000
1579.689941	-79.430000	0.000000
1579.699951	-80.010002	0.000000
1579.709961	-86.419998	0.000000
1579.719971	-86.419998	0.000000
1579.729980	-82.900002	0.000000
1579.739990	-87.669998	0.000000
1579.750000	-81.650002	0.000000
1579.760010	-79.889999	0.000000
1579.770020	-210.000000	0.000000
1579.780029	-210.000000	0.000000
1579.790039	-80.540001	0.000000
1579.800049	-210.000000	0.000000
1579.810059	-210.000000	0.000000
1579.819946	-210.000000	0.000000
1579.829956	-89.430000	0.000000
1579.839966	-89.430000	0.000000
1579.849976	-84.660004	0.000000
1579.859985	-81.650002	0.000000
1579.869995	-83.690002	0.000000
1579.880005	-82.660004	0.000000
1579.890015	-210.000000	0.000000
1579.900024	-78.730003	0.000000
1579.910034	-78.820000	0.000000
1579.920044	-87.669998	0.000000
1579.930054	-210.000000	0.000000
1579.939941	-81.300003	0.000000
1579.949951	-80.680000	0.000000
1579.959961	-81.470001	0.000000
1579.969971	-87.000000	0.000000
1579.979980	-81.300003	0.000000
1579.989990	-210.000000	0.000000
1580.000000	-83.989998	0.000000
1580.010010	-210.000000	0.000000
1580.020020	-210.000000	0.000000
1580.030029	-83.690002	0.000000
1580.040039	-83.989998	0.000000
1580.050049	-81.650002	0.000000
1580.060059	-80.830002	0.000000
1580.069946	-90.680000	0.000000
1580.079956	-85.910004	0.000000
1580.089966	-210.000000	0.000000
1580.099976	-210.000000	0.000000
1580.109985	-210.000000	0.000000
1580.119995	-79.889999	0.000000
1580.130005	-81.650002	0.000000
1580.140015	-88.459999	0.000000
1580.150024	-78.639999	0.000000
1580.160034	-79.540001	0.000000
1580.170044	-79.110001	0.000000
1580.180054	-79.430000	0.000000
1580.189941	-82.029999	0.000000
1580.199951	-81.300003	0.000000
1580.209961	-210.000000	0.000000
1580.219971	-78.639999	0.000000
1580.229980	-78.209999	0.000000
1580.239990	-85.910004	0.000000
1580.250000	-80.260002	0.000000
1580.260010	-77.669998	0.000000
1580.270020	-80.260002	0.000000
1580.280029	-80.980003	0.000000
1580.290039	-78.919998	0.000000
1580.300049	-77.059998	0.000000
1580.310059	-76.879997	0.000000
1580.319946	-78.370003	0.000000
1580.329956	-75.449997	0.000000
1580.339966	-75.860001	0.000000
1580.349976	-79.320000	0.000000
1580.359985	-77.529999	0.000000
1580.369995	-77.059998	0.000000
1580.380005	-82.230003	0.000000
1580.390015	-78.459999	0.000000
1580.400024	-76.760002	0.000000
1580.410034	-78.639999	0.000000
1580.420044	-76.360001	0.000000
1580.430054	-76.580002	0.000000
1580.439941	-77.059998	0.000000
