Wavelength (nm)	Transmission (dBm)	Linear Transmission
1577.000000	-210.000000	0.000000
1577.010010	-81.129997	0.000000
1577.020020	-85.900002	0.000000
1577.030029	-80.669998	0.000000
1577.040039	-88.449997	0.000000
1577.050049	-82.019997	0.000000
1577.060059	-83.980003	0.000000
1577.069946	-85.440002	0.000000
1577.079956	-95.440002	0.000000
1577.089966	-210.000000	0.000000
1577.099976	-210.000000	0.000000
1577.109985	-77.879997	0.000000
1577.119995	-210.000000	0.000000
1577.130005	-210.000000	0.000000
1577.140015	-80.820000	0.000000
1577.150024	-210.000000	0.000000
1577.160034	-86.410004	0.000000
1577.170044	-210.000000	0.000000
1577.180054	-85.900002	0.000000
1577.189941	-79.529999	0.000000
1577.199951	-210.000000	0.000000
1577.209961	-210.000000	0.000000
1577.219971	-210.000000	0.000000
1577.229980	-81.290001	0.000000
1577.239990	-83.400002	0.000000
1577.250000	-87.660004	0.000000
1577.260010	-92.430000	0.000000
1577.270020	-210.000000	0.000000
1577.280029	-81.639999	0.000000
1577.290039	-210.000000	0.000000
1577.300049	-210.000000	0.000000
1577.310059	-77.379997	0.000000
1577.319946	-81.129997	0.000000
1577.329956	-78.910004	0.000000
1577.339966	-90.669998	0.000000
1577.349976	-86.989998	0.000000
1577.359985	-82.889999	0.000000
1577.369995	-82.889999	0.000000
1577.380005	-79.879997	0.000000
1577.390015	-83.400002	0.000000
1577.400024	-210.000000	0.000000
1577.410034	-84.300003	0.000000
1577.420044	-81.820000	0.000000
1577.430054	-83.980003	0.000000
1577.439941	-82.889999	0.000000
1577.449951	-78.910004	0.000000
1577.459961	-81.290001	0.000000
1577.469971	-78.279999	0.000000
1577.479980	-95.440002	0.000000
1577.489990	-210.000000	0.000000
1577.500000	-79.419998	0.000000
1577.510010	-79.309998	0.000000
1577.520020	-85.900002	0.000000
1577.530029	-85.029999	0.000000
1577.540039	-210.000000	0.000000
1577.550049	-88.449997	0.000000
1577.560059	-76.570000	0.000000
1577.569946	-82.650002	0.000000
1577.579956	-78.120003	0.000000
1577.589966	-80.000000	0.000000
1577.599976	-81.639999	0.000000
1577.609985	-79.000000	0.000000
1577.619995	-78.720001	0.000000
1577.630005	-79.099998	0.000000
1577.640015	-79.879997	0.000000
1577.650024	-210.000000	0.000000
1577.660034	-76.570000	0.000000
1577.670044	-81.129997	0.000000
1577.680054	-82.019997	0.000000
1577.689941	-83.400002	0.000000
1577.699951	-87.660004	0.000000
1577.709961	-81.459999	0.000000
1577.719971	-78.540001	0.000000
1577.729980	-77.379997	0.000000
1577.739990	-79.529999	0.000000
1577.750000	-78.449997	0.000000
1577.760010	-75.029999	0.000000
1577.770020	-79.209999	0.000000
1577.780029	-78.279999	0.000000
1577.790039	-78.360001	0.000000
1577.800049	-79.879997	0.000000
1577.810059	-81.820000	0.000000
1577.819946	-77.239998	0.000000
1577.829956	-78.199997	0.000000
1577.839966	-74.510002	0.000000
1577.849976	-76.410004	0.000000
1577.859985	-76.690002	0.000000
1577.869995	-75.620003	0.000000
1577.880005	-74.760002	0.000000
1577.890015	-75.349998	0.000000
1577.900024	-75.989998	0.000000
1577.910034	-75.309998	0.000000
1577.920044	-76.150002	0.000000
1577.930054	-76.349998	0.000000
1577.939941	-75.230003	0.000000
1577.949951	-75.309998	0.000000
1577.959961	-76.629997	0.000000
1577.969971	-75.570000	0.000000
1577.979980	-75.190002	0.000000
1577.989990	-75.620003	0.000000
1578.000000	-75.959999	0.000000
1578.010010	-74.769997	0.000000
1578.020020	-73.870003	0.000000
1578.030029	-73.220001	0.000000
1578.040039	-73.269997	0.000000
1578.050049	-74.050003	0.000000
1578.060059	-73.959999	0.000000
1578.069946	-73.040001	0.000000
1578.079956	-73.750000	0.000000
1578.089966	-73.089996	0.000000
1578.099976	-73.959999	0.000000
1578.109985	-74.019997	0.000000
1578.119995	-73.519997	0.000000
1578.130005	-72.949997	0.000000
1578.140015	-72.680000	0.000000
1578.150024	-72.800003	0.000000
1578.160034	-72.269997	0.000000
1578.170044	-72.029999	0.000000
1578.180054	-72.440002	0.000000
1578.189941	-71.379997	0.000000
1578.199951	-71.099998	0.000000
1578.209961	-71.610001	0.000000
1578.219971	-71.790001	0.000000
1578.229980	-70.800003	0.000000
1578.239990	-70.800003	0.000000
1578.250000	-70.480003	0.000000
1578.260010	-70.779999	0.000000
1578.270020	-70.949997	0.000000
1578.280029	-71.440002	0.000000
1578.290039	-70.370003	0.000000
1578.300049	-70.190002	0.000000
1578.310059	-70.190002	0.000000
1578.319946	-69.720001	0.000000
1578.329956	-69.959999	0.000000
