Wavelength (nm)	Transmission (dBm)	Linear Transmission
1575.000000	-80.239998	0.000000
1575.015991	-92.419998	0.000000
1575.031982	-210.000000	0.000000
1575.047974	-210.000000	0.000000
1575.063965	-210.000000	0.000000
1575.079956	-82.639999	0.000000
1575.095947	-83.970001	0.000000
1575.112061	-81.120003	0.000000
1575.128052	-210.000000	0.000000
1575.144043	-80.809998	0.000000
1575.160034	-80.809998	0.000000
1575.176025	-210.000000	0.000000
1575.192017	-85.019997	0.000000
1575.208008	-210.000000	0.000000
1575.223999	-210.000000	0.000000
1575.239990	-210.000000	0.000000
1575.255981	-86.400002	0.000000
1575.271973	-210.000000	0.000000
1575.287964	-210.000000	0.000000
1575.303955	-85.430000	0.000000
1575.319946	-80.110001	0.000000
1575.336060	-210.000000	0.000000
1575.352051	-85.889999	0.000000
1575.368042	-92.419998	0.000000
1575.384033	-210.000000	0.000000
1575.400024	-79.870003	0.000000
1575.416016	-210.000000	0.000000
1575.432007	-210.000000	0.000000
1575.447998	-85.889999	0.000000
1575.463989	-210.000000	0.000000
1575.479980	-210.000000	0.000000
1575.495972	-210.000000	0.000000
1575.511963	-85.440002	0.000000
1575.527954	-210.000000	0.000000
1575.543945	-83.980003	0.000000
1575.560059	-82.650002	0.000000
1575.576050	-210.000000	0.000000
1575.592041	-90.669998	0.000000
1575.608032	-210.000000	0.000000
1575.624023	-210.000000	0.000000
1575.640015	-210.000000	0.000000
1575.656006	-210.000000	0.000000
1575.671997	-210.000000	0.000000
1575.687988	-210.000000	0.000000
1575.703979	-210.000000	0.000000
1575.719971	-95.440002	0.000000
1575.735962	-81.459999	0.000000
1575.751953	-210.000000	0.000000
1575.767944	-89.419998	0.000000
1575.784058	-210.000000	0.000000
1575.800049	-85.440002	0.000000
1575.816040	-87.660004	0.000000
1575.832031	-210.000000	0.000000
1575.848022	-90.669998	0.000000
1575.864014	-210.000000	0.000000
1575.880005	-95.440002	0.000000
1575.895996	-210.000000	0.000000
1575.911987	-210.000000	0.000000
1575.927979	-85.029999	0.000000
1575.943970	-80.389999	0.000000
1575.959961	-90.669998	0.000000
1575.975952	-210.000000	0.000000
1575.991943	-210.000000	0.000000
1576.008057	-210.000000	0.000000
1576.024048	-210.000000	0.000000
1576.040039	-210.000000	0.000000
1576.056030	-86.989998	0.000000
1576.072021	-88.449997	0.000000
1576.088013	-84.650002	0.000000
1576.104004	-210.000000	0.000000
1576.119995	-82.889999	0.000000
1576.135986	-210.000000	0.000000
1576.151978	-210.000000	0.000000
1576.167969	-210.000000	0.000000
1576.183960	-210.000000	0.000000
1576.199951	-82.430000	0.000000
1576.215942	-82.019997	0.000000
1576.232056	-210.000000	0.000000
1576.248047	-210.000000	0.000000
1576.264038	-90.669998	0.000000
1576.280029	-87.660004	0.000000
1576.296021	-86.989998	0.000000
1576.312012	-210.000000	0.000000
1576.328003	-83.400002	0.000000
1576.343994	-210.000000	0.000000
1576.359985	-210.000000	0.000000
1576.375977	-210.000000	0.000000
1576.391968	-210.000000	0.000000
1576.407959	-210.000000	0.000000
1576.423950	-88.449997	0.000000
1576.439941	-210.000000	0.000000
1576.456055	-210.000000	0.000000
1576.472046	-81.290001	0.000000
1576.488037	-80.120003	0.000000
1576.504028	-84.650002	0.000000
1576.520020	-210.000000	0.000000
1576.536011	-95.440002	0.000000
1576.552002	-210.000000	0.000000
1576.567993	-210.000000	0.000000
1576.583984	-95.440002	0.000000
1576.599976	-79.760002	0.000000
1576.615967	-82.019997	0.000000
1576.631958	-210.000000	0.000000
1576.647949	-81.820000	0.000000
1576.663940	-84.650002	0.000000
1576.680054	-210.000000	0.000000
1576.696045	-80.970001	0.000000
1576.712036	-210.000000	0.000000
1576.728027	-85.440002	0.000000
1576.744019	-92.430000	0.000000
1576.760010	-83.129997	0.000000
1576.776001	-83.980003	0.000000
1576.791992	-210.000000	0.000000
1576.807983	-210.000000	0.000000
1576.823975	-210.000000	0.000000
1576.839966	-86.410004	0.000000
1576.855957	-210.000000	0.000000
1576.871948	-85.900002	0.000000
1576.887939	-77.239998	0.000000
1576.904053	-92.430000	0.000000
1576.920044	-79.639999	0.000000
1576.936035	-210.000000	0.000000
1576.952026	-210.000000	0.000000
1576.968018	-210.000000	0.000000
1576.984009	-210.000000	0.000000
1577.000000	-85.029999	0.000000
1577.015991	-210.000000	0.000000
1577.031982	-210.000000	0.000000
1577.047974	-210.000000	0.000000
1577.063965	-210.000000	0.000000
1577.079956	-84.650002	0.000000
1577.095947	-210.000000	0.000000
1577.112061	-210.000000	0.000000
1577.128052	-85.900002	0.000000
1577.144043	-210.000000	0.000000
1577.160034	-90.669998	0.000000
1577.176025	-89.419998	0.000000
1577.192017	-80.000000	0.000000
1577.208008	-83.400002	0.000000
1577.223999	-210.000000	0.000000
1577.239990	-210.000000	0.000000
1577.255981	-210.000000	0.000000
1577.271973	-79.309998	0.000000
1577.287964	-86.989998	0.000000
1577.303955	-210.000000	0.000000
1577.319946	-210.000000	0.000000
1577.336060	-210.000000	0.000000
1577.352051	-78.910004	0.000000
1577.368042	-210.000000	0.000000
1577.384033	-210.000000	0.000000
1577.400024	-90.669998	0.000000
1577.416016	-92.430000	0.000000
1577.432007	-210.000000	0.000000
1577.447998	-210.000000	0.000000
1577.463989	-81.639999	0.000000
1577.479980	-82.889999	0.000000
1577.495972	-82.430000	0.000000
1577.511963	-210.000000	0.000000
1577.527954	-210.000000	0.000000
1577.543945	-79.000000	0.000000
1577.560059	-90.669998	0.000000
1577.576050	-210.000000	0.000000
1577.592041	-210.000000	0.000000
1577.608032	-210.000000	0.000000
1577.624023	-210.000000	0.000000
1577.640015	-210.000000	0.000000
1577.656006	-210.000000	0.000000
1577.671997	-210.000000	0.000000
1577.687988	-82.220001	0.000000
1577.703979	-84.300003	0.000000
1577.719971	-210.000000	0.000000
1577.735962	-210.000000	0.000000
1577.751953	-210.000000	0.000000
1577.767944	-210.000000	0.000000
1577.784058	-210.000000	0.000000
1577.800049	-210.000000	0.000000
1577.816040	-210.000000	0.000000
1577.832031	-88.449997	0.000000
1577.848022	-84.300003	0.000000
1577.864014	-210.000000	0.000000
1577.880005	-210.000000	0.000000
1577.895996	-87.660004	0.000000
1577.911987	-210.000000	0.000000
1577.927979	-88.449997	0.000000
1577.943970	-79.639999	0.000000
1577.959961	-210.000000	0.000000
1577.975952	-210.000000	0.000000
1577.991943	-210.000000	0.000000
1578.008057	-210.000000	0.000000
1578.024048	-95.449997	0.000000
1578.040039	-85.040001	0.000000
1578.056030	-210.000000	0.000000
1578.072021	-83.690002	0.000000
1578.088013	-85.040001	0.000000
1578.104004	-81.300003	0.000000
1578.119995	-95.449997	0.000000
1578.135986	-85.040001	0.000000
1578.151978	-210.000000	0.000000
1578.167969	-210.000000	0.000000
1578.183960	-210.000000	0.000000
1578.199951	-210.000000	0.000000
1578.215942	-79.769997	0.000000
1578.232056	-83.690002	0.000000
1578.248047	-210.000000	0.000000
1578.264038	-210.000000	0.000000
1578.280029	-210.000000	0.000000
1578.296021	-83.989998	0.000000
1578.312012	-210.000000	0.000000
1578.328003	-210.000000	0.000000
1578.343994	-210.000000	0.000000
1578.359985	-85.910004	0.000000
1578.375977	-210.000000	0.000000
1578.391968	-210.000000	0.000000
1578.407959	-82.230003	0.000000
1578.423950	-210.000000	0.000000
1578.439941	-210.000000	0.000000
1578.456055	-210.000000	0.000000
1578.472046	-84.309998	0.000000
1578.488037	-210.000000	0.000000
1578.504028	-92.440002	0.000000
1578.520020	-210.000000	0.000000
1578.536011	-210.000000	0.000000
1578.552002	-210.000000	0.000000
1578.567993	-83.690002	0.000000
1578.583984	-210.000000	0.000000
1578.599976	-82.900002	0.000000
1578.615967	-210.000000	0.000000
1578.631958	-87.669998	0.000000
1578.647949	-210.000000	0.000000
1578.663940	-210.000000	0.000000
1578.680054	-81.470001	0.000000
1578.696045	-85.910004	0.000000
1578.712036	-210.000000	0.000000
1578.728027	-92.440002	0.000000
1578.744019	-80.540001	0.000000
1578.760010	-88.459999	0.000000
1578.776001	-210.000000	0.000000
1578.791992	-82.660004	0.000000
1578.807983	-81.650002	0.000000
1578.823975	-210.000000	0.000000
1578.839966	-210.000000	0.000000
1578.855957	-210.000000	0.000000
1578.871948	-80.129997	0.000000
1578.887939	-210.000000	0.000000
1578.904053	-86.419998	0.000000
1578.920044	-79.220001	0.000000
1578.936035	-210.000000	0.000000
1578.952026	-210.000000	0.000000
1578.968018	-210.000000	0.000000
1578.984009	-210.000000	0.000000
1579.000000	-210.000000	0.000000
1579.015991	-85.040001	0.000000
1579.031982	-210.000000	0.000000
1579.047974	-210.000000	0.000000
1579.063965	-210.000000	0.000000
1579.079956	-210.000000	0.000000
1579.095947	-210.000000	0.000000
1579.112061	-210.000000	0.000000
1579.128052	-89.430000	0.000000
1579.144043	-89.430000	0.000000
1579.160034	-210.000000	0.000000
1579.176025	-82.230003	0.000000
1579.192017	-83.989998	0.000000
1579.208008	-210.000000	0.000000
1579.223999	-87.669998	0.000000
1579.239990	-85.040001	0.000000
1579.255981	-83.989998	0.000000
1579.271973	-89.430000	0.000000
1579.287964	-210.000000	0.000000
1579.303955	-210.000000	0.000000
1579.319946	-210.000000	0.000000
1579.336060	-210.000000	0.000000
1579.352051	-83.690002	0.000000
1579.368042	-85.910004	0.000000
1579.384033	-90.680000	0.000000
1579.400024	-88.459999	0.000000
1579.416016	-210.000000	0.000000
1579.432007	-90.680000	0.000000
1579.447998	-210.000000	0.000000
1579.463989	-210.000000	0.000000
1579.479980	-210.000000	0.000000
1579.495972	-210.000000	0.000000
1579.511963	-210.000000	0.000000
1579.527954	-82.230003	0.000000
1579.543945	-210.000000	0.000000
1579.560059	-210.000000	0.000000
1579.576050	-210.000000	0.000000
1579.592041	-210.000000	0.000000
1579.608032	-210.000000	0.000000
1579.624023	-210.000000	0.000000
1579.640015	-210.000000	0.000000
1579.656006	-85.040001	0.000000
1579.671997	-210.000000	0.000000
1579.687988	-210.000000	0.000000
1579.703979	-210.000000	0.000000
1579.719971	-210.000000	0.000000
1579.735962	-210.000000	0.000000
1579.751953	-84.309998	0.000000
1579.767944	-210.000000	0.000000
1579.784058	-210.000000	0.000000
1579.800049	-89.430000	0.000000
1579.816040	-92.440002	0.000000
1579.832031	-210.000000	0.000000
1579.848022	-210.000000	0.000000
1579.864014	-210.000000	0.000000
1579.880005	-82.440002	0.000000
1579.895996	-210.000000	0.000000
1579.911987	-210.000000	0.000000
1579.927979	-79.220001	0.000000
1579.943970	-80.260002	0.000000
1579.959961	-79.110001	0.000000
1579.975952	-75.959999	0.000000
1579.991943	-78.639999	0.000000
1580.008057	-74.959999	0.000000
1580.024048	-73.169998	0.000000
1580.040039	-71.089996	0.000000
1580.056030	-70.660004	0.000000
1580.072021	-69.440002	0.000000
1580.088013	-69.209999	0.000000
1580.104004	-68.779999	0.000000
1580.119995	-68.739998	0.000000
1580.135986	-68.639999	0.000000
1580.151978	-68.430000	0.000000
1580.167969	-67.980003	0.000000
1580.183960	-67.070000	0.000000
1580.199951	-66.820000	0.000000
1580.215942	-65.940002	0.000000
1580.232056	-65.440002	0.000000
1580.248047	-65.080002	0.000000
1580.264038	-64.949997	0.000000
1580.280029	-64.580002	0.000000
1580.296021	-64.550003	0.000000
1580.312012	-64.379997	0.000000
1580.328003	-64.449997	0.000000
1580.343994	-64.209999	0.000000
1580.359985	-64.070000	0.000000
1580.375977	-63.639999	0.000000
1580.391968	-63.139999	0.000000
1580.407959	-62.860001	0.000001
1580.423950	-62.590000	0.000001
1580.439941	-62.529999	0.000001
1580.456055	-62.320000	0.000001
1580.472046	-62.080002	0.000001
1580.488037	-62.150002	0.000001
1580.504028	-62.180000	0.000001
1580.520020	-62.200001	0.000001
1580.536011	-62.090000	0.000001
1580.552002	-62.130001	0.000001
1580.567993	-61.799999	0.000001
1580.583984	-61.509998	0.000001
1580.599976	-61.180000	0.000001
1580.615967	-61.099998	0.000001
1580.631958	-61.029999	0.000001
1580.647949	-61.119999	0.000001
1580.663940	-61.040001	0.000001
1580.680054	-61.230000	0.000001
1580.696045	-61.180000	0.000001
1580.712036	-61.029999	0.000001
1580.728027	-60.790001	0.000001
1580.744019	-60.570000	0.000001
1580.760010	-60.330002	0.000001
1580.776001	-60.270000	0.000001
1580.791992	-60.310001	0.000001
1580.807983	-60.310001	0.000001
1580.823975	-60.529999	0.000001
1580.839966	-60.599998	0.000001
1580.855957	-60.459999	0.000001
1580.871948	-60.130001	0.000001
1580.887939	-59.860001	0.000001
1580.904053	-59.730000	0.000001
1580.920044	-59.599998	0.000001
1580.936035	-59.599998	0.000001
1580.952026	-59.630001	0.000001
1580.968018	-59.680000	0.000001
1580.984009	-59.779999	0.000001
1581.000000	-59.779999	0.000001
1581.015991	-59.599998	0.000001
1581.031982	-59.419998	0.000001
1581.047974	-59.130001	0.000001
1581.063965	-58.900002	0.000001
1581.079956	-58.880001	0.000001
1581.095947	-58.959999	0.000001
1581.112061	-59.060001	0.000001
1581.128052	-59.160000	0.000001
1581.144043	-59.139999	0.000001
1581.160034	-59.040001	0.000001
1581.176025	-58.810001	0.000001
1581.192017	-58.650002	0.000001
1581.208008	-58.580002	0.000001
1581.223999	-58.570000	0.000001
1581.239990	-58.570000	0.000001
1581.255981	-58.660000	0.000001
1581.271973	-58.750000	0.000001
1581.287964	-58.860001	0.000001
1581.303955	-58.810001	0.000001
1581.319946	-58.680000	0.000001
1581.336060	-58.450001	0.000001
1581.352051	-58.299999	0.000001
1581.368042	-58.189999	0.000002
1581.384033	-58.349998	0.000001
1581.400024	-58.400002	0.000001
1581.416016	-58.400002	0.000001
1581.432007	-58.500000	0.000001
1581.447998	-58.419998	0.000001
1581.463989	-58.279999	0.000001
1581.479980	-58.009998	0.000002
1581.495972	-57.869999	0.000002
1581.511963	-57.750000	0.000002
1581.527954	-57.669998	0.000002
1581.543945	-57.650002	0.000002
1581.560059	-57.650002	0.000002
1581.576050	-57.610001	0.000002
1581.592041	-57.520000	0.000002
1581.608032	-57.279999	0.000002
1581.624023	-56.910000	0.000002
1581.640015	-56.549999	0.000002
1581.656006	-56.330002	0.000002
1581.671997	-56.200001	0.000002
1581.687988	-56.139999	0.000002
1581.703979	-56.060001	0.000002
1581.719971	-55.900002	0.000003
1581.735962	-55.700001	0.000003
1581.751953	-55.419998	0.000003
1581.767944	-54.970001	0.000003
1581.784058	-54.650002	0.000003
1581.800049	-54.450001	0.000004
1581.816040	-54.240002	0.000004
1581.832031	-54.099998	0.000004
1581.848022	-54.040001	0.000004
1581.864014	-53.910000	0.000004
1581.880005	-53.740002	0.000004
1581.895996	-53.549999	0.000004
1581.911987	-53.169998	0.000005
1581.927979	-52.720001	0.000005
1581.943970	-52.439999	0.000006
1581.959961	-52.240002	0.000006
1581.975952	-52.110001	0.000006
1581.991943	-52.009998	0.000006
1582.008057	-51.910000	0.000006
1582.024048	-51.770000	0.000007
1582.040039	-51.549999	0.000007
1582.056030	-51.160000	0.000008
1582.072021	-50.820000	0.000008
1582.088013	-50.540001	0.000009
1582.104004	-50.299999	0.000009
1582.119995	-50.139999	0.000010
1582.135986	-50.040001	0.000010
1582.151978	-49.919998	0.000010
1582.167969	-49.860001	0.000010
1582.183960	-49.759998	0.000011
1582.199951	-49.549999	0.000011
1582.215942	-49.259998	0.000012
1582.232056	-49.020000	0.000013
1582.248047	-48.830002	0.000013
1582.264038	-48.720001	0.000013
1582.280029	-48.709999	0.000013
1582.296021	-48.700001	0.000013
1582.312012	-48.700001	0.000013
1582.328003	-48.680000	0.000014
1582.343994	-48.590000	0.000014
